# 來源（台灣）	目標（中國大陸）
# 公司核定順序：S__80035843_0、S__80035846_0、S__80035845_0、S__80035844_0、S__80035847_0、S__80035848_0；請勿排序或去除重複項目。
本發明之其他的特徵及功效，將於參照圖式的實施方式中清楚地呈現，其中：	
本新型之其他的特徵及功效，將於參照圖式的實施方式中清楚地呈現，其中：	
射出成型	注射成型
魔鬼氈	魔術貼
丹尼	丹
英吋	英寸
程式	程序
模組	模塊
小於等於	不大於
大於等於	不小於
快取記憶體	高速緩存器
記憶體	存儲器
儲存媒體	存儲媒體
電晶體	晶体管
可能以	可以
回授	反饋
便條紙	便籤
碟	盤
胚	坯
魚眼軸承	滾珠軸承
電洞	空穴
電腦	計算機
位能	勢能
幫浦	泵
台灣	中國台灣
中華民國	中國台灣
割面線	剖切線
奈米	納米
公分	厘米
準位	電平
程序	編程
品質	質量
藍芽	藍牙
蝕刻液	蝕刻劑
傳輸介面	傳輸接口
透過	通過
所述所述	所述
惟以上所述者，僅為本發明的實施例而已，當不能以此限定本發明實施的範圍，凡是依本發明申請專利範圍及專利說明書內容所作的簡單的等效變化與修飾，皆仍屬本發明專利涵蓋的範圍內。	
一	一個
一個個	一個
第一一個	第一
一個次	一次
一個種	一種
一個种	一种
進一一個步	進一步
一個般	一般
一個端	一端
一個半	一半
一個但	一但
一個軸線	一條軸線
一個對	一對
一對應	一個對應
一個X軸	一條X軸
一個Y軸	一條Y軸
一個Z軸	一條Z軸
一個起	一起
一個側	一側
一個個	一個
一個提	一提
一個體	一體
一個條	一條
一個層	一層
一個張	一張
一個組	一組
一個一個	一個
一個、	一、
一個些	一些
第一個	第一
唯一個	唯一
一個直	一直
逐一個	逐一
一個份	一份
故	所以
習知	現有
習用	現有
傳統	現有
鋁擠型	鋁型材
於	于
後	后
徵	征
依據	根據
缺失	缺點
揭示	公開
剖線	剖切線
關係是	關係
游標	鼠標
前題	前提
網路	网络
程式	应用程序
智慧	智能
疊	叠
数位	数码
螢幕	屏幕
即時	實時
圖式	附圖
超音波	超聲波
蠋	烛
訊息	信息
于涉及	涉及
即能	即可
能知	可知
的前	之前
各別的	各自的
各別之	各自的
各自的的	各自的
該	所述
所述等	所述
具有一個以上	具有至少一
應所述	應該
借通過	通過
藉由	通過
販售	出售
揭露	公開
更包含	還包含
更包括	還包括
更具有	還具有
藉	借
家俱	家具
緊迫	鎖緊
裝設	安裝
電性連接	電連接
插固	插設固定
螺組	螺接
內建	內置
用以	用于
顧慮	隱患
繞射	衍射
相交	成角度
類比	模擬
數位類比轉換	數字仿真轉換
連線	聯機
雷射	激光
座標	坐標
資訊	信息
位在	位于
沈降	沉降
多個個	多個
多數個	多個
數個	多個
複數	多個
多個多個	多個
之功效	的功效
的間	之間
的后	之后
反之	相反地
換言之	換句話說
亦	也
亦也即	也就是說
第一一個	第一個
係多個數	係數
數多個目	數目
數多個量	數量
數多個據	數據
數多個位	數碼
次多個	次數
其中之的一一個	其中一個
其中之的另一一個	其中另一個
一個段時間	一段時間
二	兩個
兩個、	二、
二兩個個	兩個
二兩個極體	二极管
第二兩個	第二
兩個側	兩側
第兩個	第二
另一另一個	另一個
的的的的以上所述者	以上所述者
所述所述	所述
每一個個	每一個
每一個一個	每一個
至少一個個	至少一個
至少一個一個	至少一個
個排	排
可移動	能夠移動
可轉動	能夠轉動
可擺動	能夠擺動
可滑動	能夠滑動
可透視	能夠透視
可透光	能夠透光
可開通	能夠開通
可開放	能夠開放
可開啟	能夠開啟
可卸離	能夠卸離
可脫離	能夠脫離
可被	能夠被
可以	能夠
應所述注意的是	應該注意的是
單多個	單數
雙多個	雙數
所述等	所述
之前端	的前端
盤盤	碟盤
藉此	借此
訊號	信號
現有	現有的
的功效本發明的有益效果在	本發明的有益效果在
中具有通常知識者	技術人員
兩個合一個	二合一
